Z_COE,T_COE,NIVEL_AE_COE,Z_INFO,T_INFO,NIVEL_AE_INFO,Z_TE,T_TE,NIVEL_AE_TE,AE_Total,T,Nivel_AE_TOTAL,O,C,E,A,N,GENERO,CARRERA,EDAD,CIUDAD,CIVIL,HIJOS,VIVES,NUM_HIJO,PREPA,MOD_PREPA,INGRESOS,HA_TRABAJO,TRABAJO_ACTUAL,PAPAS_TRABAJO,PAPAS_NEGOCIO,COMPU,INTERNET,FORM_LABORAL,BUENAS_RELACIONES,COMPROMISO_TIEMPO,ESCUCHAR_SUGERENCIAS,COLABORAR_AREAS,RESPETAR_DIFERENTES,REALIZAR_CARGA,DISTANCIA_DISTRACCION,ESCUCHAR_DESACUERDO,COMUNICAR_INCONFORMIDADES,COLABORAR_URGENTE,PERSONAS_DIFERENTES,DISTANCIA_TIEMPO,APERTURA_CONFLICTOS,CLIMA_PRESION,PARTICIPAR_PLANIFICACION,RESPETAR_TIEMPOS,RELACION_DESAGRADO,INTEGRARME_EQUIPO,CONFIAR_COMPAÑEROS,INTEGRAR_IDEAS,ESCUCHAR_PTO_DISTINTO,IDENTIFICAR_MITURNO,IDEAS_ENTENDIBLE_IDIOMA,SIN_MALASPALABRAS,PERDERSE_DISCURSO_HABLAR,ORGANIZAR_IDEAS,MULETILLAS_HABLAR,BARBARISMOS_HABLAR,REDUNDANTE_PUBLICO,EXPONER_SINAPOYO,CONTACTO_VISUAL,EXPRESION_SEGURIDAD,POSTURA_ADECUADA,VELOCIDAD_HABLA,VOLUMEN_VOZ,REDACTAR_REMITENTE,ERROR_GRAMATICAL,ESCRIB_ENTENDIBLE_IDEAS,ESCRIB_ORDEN_SECUENCIA,SIN_AUTOCORRECTOR,SIN_TECNICISMOS,CORREO_CONDENSADO,ORTOGRAF_TIC,ASPECTO_VIDEO,RESPONDER_ATIEMPO_TIC,BUSQUEDA_PROFUNDA,PREGUNTAS_PERSONAS,TERMINOS_CLAROS,CONOCER_FUENTES,BUSQUEDA_ESPECIALIZADA,ALMACENAR_INFORMACION,APLICACIONES_VISUALIZAR,ADAPTAR_BUSQUEDA,UTILIZAR_BUSCADORES,COMPARAR_INFORMACION,CONFIRMAR_INFORMACION,VALIDAR_REMITENTE,VALIDAR_AUTOR,ORDEN_FUENTES,IDENTIFICAR_ORGANIZAR,CLASIFICAR_CARPETAS,DIFERENTES_SITIOS,DESARROLLAR_PRESENTACIONES,USO_PARAFRASIS,INCORPORAR_INFORMACION
-0.296695652,47.03304348,AE_Normal_COE,-0.322796082,46.77203918,AE_Norm_INFO,-0.531938949,44.68061051,AE_NORM_TE,-0.267787206,47.32212794,AE_Normal,95,20,85,95,10,F,Psico,22,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,si,si,si,si,Buenas,si,7,10,9,8,8,8,7,8,10,10,10,8,8,8,10,7,7,10,7,10,10,7,9,10,8,10,8,8,8,8,7,6,5,6,6,8,7,7,7,10,8,9,9,10,8,2,8,9,9,9,7,7,10,7,10,10,7,8,10,10,6,8,10,8,7
-0.470608696,45.29391304,AE_Normal_COE,-0.723508459,42.76491541,AE_Norm_INFO,-0.927642736,40.72357264,AE_NORM_TE,-0.610476501,43.89523499,AE_Normal,60,65,25,50,50,F,Psico,23,CDMX,Soltero,No,Solo,Unico,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,No,8,8,9,7,9,9,7,9,8,9,10,7,9,8,7,7,7,7,8,8,8,9,8,9,7,9,9,9,7,8,8,6,7,6,5,8,8,8,8,7,8,8,8,8,8,7,7,8,8,9,7,8,8,5,8,8,8,7,7,8,8,8,8,8,8
0.712,57.12,AE_Normal_COE,-0.189225289,48.10774711,AE_Norm_INFO,-0.927642736,40.72357264,AE_NORM_TE,0.14017624,51.4017624,AE_Normal,50,50,25,65,95,F,Psico,22,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,No,si,No,si,Buenas,No,8,10,8,9,8,8,8,7,9,8,8,7,9,9,9,9,7,8,4,7,8,9,8,9,8,9,5,10,10,10,10,10,10,9,8,10,10,9,9,10,8,9,10,10,10,8,8,9,8,9,7,8,7,7,9,9,8,9,8,9,8,7,10,9,8
1.025043478,60.25043478,AE_Alta_COE,0.968388246,59.68388246,AE_Norm_INFO,0.824759751,58.24759751,AE_NORM_TE,1.217199739,62.17199739,AE_Alta,65,40,40,75,60,F,Psico,20,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,si,si,Regulares,No,9,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,9,10,8,10,9,10,10,10,8,9,10,10,9,10,10,8,9,8,10,10,9,10,10,10,9,9,10,10,10,10,10,10,8,9,10,10,9,9,10,10,10,10,9,10,10,9,10,8,10
0.677217391,56.77217391,AE_Normal_COE,0.033392698,50.33392698,AE_Norm_INFO,0.711701526,57.11701526,AE_NORM_TE,0.67868799,56.7868799,AE_Normal,65,20,55,50,75,F,Psico,21,CDMX,Soltero,No,Padres,medio,Publica,Escolarizada,4500a9000,si,No,si,No,si,Buenas,si,10,10,10,10,10,9,8,10,9,10,10,9,10,10,10,10,7,10,10,10,10,10,9,10,8,8,8,10,10,10,10,7,10,5,10,10,10,10,10,7,10,10,7,10,8,5,10,10,8,10,7,5,7,5,10,8,7,10,10,10,8,10,10,10,10
1.372869565,63.72869565,AE_Alta_COE,1.235529831,62.35529831,AE_Norm_INFO,0.824759751,58.24759751,AE_NORM_TE,1.478296345,64.78296345,AE_Alta,20,80,25,30,20,M,Psico,28,Mexico,Soltero,si,Solo,Mayor,Publica,Escolarizada,10000a18000,si,si,No,No,si,Buenas,si,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,7,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
0.746782609,57.46782609,AE_Normal_COE,0.345057881,53.45057881,AE_Norm_INFO,-1.492933861,35.07066139,AE_BAJA_TE,0.189131854,51.89131854,AE_Normal,85,50,55,99,35,F,Psico,23,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,10000a18000,si,No,si,si,si,Regulares,No,8,10,6,10,8,9,7,9,5,6,9,5,10,7,10,6,5,8,5,10,9,8,8,10,8,7,10,10,10,10,10,10,10,8,10,9,9,8,9,9,10,8,10,10,9,8,10,9,7,10,10,8,7,8,10,10,10,9,8,9,10,8,10,8,8
0.120695652,51.20695652,AE_Normal_COE,0.211487088,52.11487088,AE_Norm_INFO,0.768230639,57.68230639,AE_NORM_TE,0.499184073,54.99184073,AE_Normal,90,10,85,20,10,F,Psico,19,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,menos4000,No,No,si,No,si,Buenas,No,10,10,10,10,9,7,8,10,10,10,10,10,10,10,10,9,10,10,10,10,10,8,5,10,6,6,6,10,10,10,10,10,10,6,9,10,10,6,6,10,6,7,10,10,10,10,10,10,6,10,10,7,10,8,10,10,9,6,6,9,8,10,10,7,8
0.016347826,50.16347826,AE_Normal_COE,-0.278272484,47.21727516,AE_Norm_INFO,-0.644997174,43.55002826,AE_NORM_TE,-0.137238903,48.62761097,AE_Normal,75,15,95,99,5,F,Psico,20,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,si,7,10,10,10,8,8,8,8,8,9,10,8,8,8,8,10,8,5,7,8,9,9,8,10,6,7,7,10,9,9,9,9,8,7,7,10,9,8,8,8,9,8,8,9,7,9,8,8,7,7,7,8,8,6,7,8,8,9,8,8,10,8,9,10,10
0.503304348,55.03304348,AE_Normal_COE,0.300534283,53.00534283,AE_Norm_INFO,0.598643301,55.98643301,AE_NORM_TE,0.662369452,56.62369452,AE_Normal,15,65,5,95,20,F,Psico,20,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,No,si,si,si,Buenas,No,10,10,10,9,10,10,7,10,9,10,10,9,10,9,10,10,9,10,8,10,10,10,9,10,9,8,8,10,9,9,7,7,8,8,8,9,9,9,9,9,9,9,9,10,10,0,5,8,10,10,9,10,10,9,9,10,9,7,10,10,10,10,10,10,10
